Note: The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ,,,,,,,,,,,,,,,,,,,,,,
first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value
Becka,Hacon,Female,81,1965-07-03,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9,0.8,0.8,1,1,278,278,1.05
Cirillo,Frossell,Male,7,1968-10-14,Graphic Designer,n/a,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,0.49,0.49,0.6125,0.520625,278,278,1.05
Verla,Dumingos,Female,26,1971-09-18,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,1.09,1.3625,1.3625,1.158125,282,282,1.04921875
Sherrie,Godleman,Female,37,1978-04-02,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2,0.8,0.8,0.8,0.68,282,282,1.04921875
Dexter,Shutle,Male,81,1959-01-05,Quality Control Specialist,n/a,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,0.63,0.63,0.7875,0.669375,284,284,1.046875
Konstanze,Hovie,Female,88,1967-01-09,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,QLD,Australia,7,0.52,0.52,0.65,0.5525,285,285,1.04125
Bink,Bentje,Male,3,1957-03-23,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,0.51,0.6375,0.6375,0.6375,285,285,1.04125
Taber,Szymon,Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8,0.76,0.76,0.76,0.76,287,287,1.04
Debbi,Dannatt,Female,2,1958-12-28,Technical Writer,n/a,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,1.1,1.1,1.375,1.375,287,287,1.04
Giana,Staresmeare,Female,96,1976-04-20,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,0.53,0.6625,0.828125,0.828125,289,289,1.0375
Morton,Petkens,Male,50,1990-11-13,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,0.57,0.7125,0.7125,0.7125,289,289,1.0375
Vittoria,Whitney,Female,95,1981-06-03,Research Assistant I,n/a,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,0.63,0.63,0.7875,0.7875,291,291,1.0359375
Paquito,Atwood,Male,15,1972-07-30,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,VIC,Australia,8,1.04,1.04,1.04,1.04,291,291,1.0359375
Dimitri,Tribbeck,Male,89,1958-12-07,Chief Design Engineer,n/a,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,0.81,0.81,1.0125,1.0125,291,291,1.0359375
Shelli,Bartholomaus,Female,88,1963-05-11,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,0.55,0.6875,0.859375,0.73046875,291,291,1.0359375
Kermit,Lebond,Male,36,1980-02-01,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8,0.72,0.72,0.72,0.612,295,295,1.03125
Biddie,Gorce,Female,68,1988-01-30,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,0.58,0.725,0.725,0.61625,295,295,1.03125
Rupert,Marrow,Male,73,1970-08-08,,Property,High Net Worth,N,No,19,2 7th Way,2760,NSW,Australia,8,0.63,0.63,0.63,0.63,297,297,1.030625
Geoff,Sitford,Male,97,1965-02-27,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8,0.9,1.125,1.40625,1.1953125,297,297,1.030625
Ange,Chitham,Female,91,1991-02-14,,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,0.91,0.91,1.1375,0.966875,297,297,1.030625
Tiphanie,Blackader,Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,1.04,1.04,1.3,1.105,297,297,1.030625
Zollie,Crinidge,Male,39,1988-01-10,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,0.47,0.5875,0.5875,0.499375,297,297,1.030625
Daisy,Pollen,Female,97,1993-08-09,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,0.84,0.84,1.05,0.8925,302,302,1.03
Emelen,Bidnall,Male,79,1981-08-05,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,0.63,0.7875,0.984375,0.984375,302,302,1.03
Linette,Boman,Female,56,1949-05-20,Account Executive,n/a,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,0.95,0.95,1.1875,1.1875,304,304,1.025
Manya,Abramovici,Female,42,1955-07-17,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8,1.08,1.35,1.35,1.35,304,304,1.025
Brynna,Tivers,Female,81,1974-08-09,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,0.81,0.81,1.0125,0.860625,304,304,1.025
Art,Carolan,Male,1,1954-11-09,Marketing Manager,n/a,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,0.97,1.2125,1.515625,1.515625,304,304,1.025
Alfi,Sabbins,Female,63,1959-06-12,,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,0.87,1.0875,1.0875,1.0875,304,304,1.025
Loleta,Aberdalgy,Female,45,1981-02-15,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6,0.56,0.56,0.56,0.476,304,304,1.025
Aldric,Birney,Male,21,1971-08-19,,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,0.92,1.15,1.15,0.9775,310,310,1.02265625
Natividad,Balducci,Female,39,1991-02-07,,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,0.7,0.875,1.09375,1.09375,310,310,1.02265625
Claudine,Dymick,Female,28,1965-12-13,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,VIC,Australia,5,0.8,0.8,0.8,0.68,312,312,1.02
Seamus,Cains,Male,61,1989-12-15,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,0.67,0.67,0.67,0.67,312,312,1.02
Guss,Karim,Male,95,1968-11-24,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11,0.45,0.45,0.5625,0.478125,312,312,1.02
Julietta,Setchfield,Female,73,1992-01-31,Operator,n/a,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,0.45,0.5625,0.5625,0.5625,312,312,1.02
Roch,Symson,Female,96,1978-05-13,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9,0.54,0.54,0.675,0.675,312,312,1.02
Audry,Fann,Female,3,1957-10-17,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,0.93,1.1625,1.1625,0.988125,312,312,1.02
Cecelia,Cisar,Female,20,1985-03-26,,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,0.57,0.7125,0.7125,0.605625,312,312,1.02
Clari,Voas,Female,74,1955-07-28,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,0.69,0.8625,0.8625,0.8625,312,312,1.02
Zach,Hedman,Male,87,1981-09-11,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9,1.05,1.3125,1.640625,1.640625,320,320,1.015625
Paxon,Roomes,Male,78,1976-11-06,Information Systems Manager,n/a,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,1.03,1.2875,1.2875,1.2875,320,320,1.015625
Parnell,Lamprey,Male,23,1977-04-08,Engineer III,Financial Services,High Net Worth,N,No,12,7353 Mallard Junction,2165,NSW,Australia,6,0.9,0.9,0.9,0.9,322,322,1.0125
Honey,Gosdin,Female,0,1981-11-29,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9,0.78,0.78,0.975,0.82875,322,322,1.0125
Sonny,McCart,Male,35,1992-08-27,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,0.76,0.76,0.95,0.95,324,324,1.01
Rozamond,Turtle,U,69,,Legal Assistant,IT,Mass Customer,N,Yes,3,57025 New Castle Street,3850,VIC,Australia,3,0.7,0.875,0.875,0.74375,324,324,1.01
Deirdre,Burgoine,Female,14,1955-01-08,Programmer III,Health,High Net Worth,N,No,7,0 Stoughton Park,3000,VIC,Australia,1,1.05,1.05,1.05,1.05,326,326,1.009375
Haleigh,,Female,17,1952-05-19,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,Australia,4,0.59,0.7375,0.7375,0.626875,326,326,1.009375
Aldridge,Poskitt,Male,84,1982-02-10,VP Sales,n/a,Mass Customer,N,No,12,7 Fordem Point,4161,QLD,Australia,5,1.03,1.03,1.2875,1.094375,326,326,1.009375
Zechariah,McReidy,Male,32,1978-07-22,Technical Writer,Manufacturing,High Net Worth,N,No,21,797 Westend Street,4207,QLD,Australia,6,0.78,0.78,0.78,0.78,329,329,1
Carry,Costi,Female,32,1972-11-26,Senior Developer,Property,Mass Customer,N,No,11,5316 Farwell Hill,2800,NSW,Australia,4,0.76,0.76,0.76,0.646,329,329,1
Alon,,Male,17,1999-06-23,Accountant IV,n/a,Affluent Customer,N,No,9,770 Crest Line Parkway,4218,QLD,Australia,3,0.84,0.84,0.84,0.84,329,329,1
Ahmed,Pickthorne,Male,46,1959-12-25,Marketing Manager,n/a,High Net Worth,N,Yes,15,50 American Street,2147,NSW,Australia,9,0.65,0.8125,1.015625,1.015625,329,329,1
Nil,Shirer,Male,64,1997-09-27,Librarian,Entertainment,Mass Customer,N,Yes,7,4793 Mcbride Pass,3013,VIC,Australia,8,0.55,0.6875,0.6875,0.584375,329,329,1
Erhard,O'Moylane,Male,33,1978-05-27,Media Manager I,Retail,Affluent Customer,N,Yes,9,01124 Dottie Lane,3630,VIC,Australia,2,1.1,1.375,1.375,1.375,334,334,0.99875
Vitia,Axtens,Female,62,1945-08-08,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,42681 Carey Alley,2011,NSW,Australia,10,1.08,1.35,1.6875,1.434375,334,334,0.99875
Haskell,Moxted,Male,81,1943-08-27,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2941 Talisman Alley,2145,NSW,Australia,9,1,1,1.25,1.0625,334,334,0.99875
Ebony,Conrad,Female,8,1999-10-24,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,990 Hoffman Avenue,3029,VIC,Australia,7,0.53,0.6625,0.6625,0.563125,334,334,0.99875
Lincoln,Boler,Male,53,1976-01-24,Chief Design Engineer,n/a,Affluent Customer,N,No,14,5 Summer Ridge Court,3207,VIC,Australia,8,0.52,0.52,0.52,0.52,338,338,0.99609375
Vladimir,Westmerland,Male,18,1956-06-19,,Manufacturing,Mass Customer,N,Yes,18,102 Charing Cross Terrace,2640,NSW,Australia,4,0.78,0.975,0.975,0.82875,338,338,0.99609375
Kylynn,Drowsfield,Female,80,1975-03-28,Editor,n/a,High Net Worth,N,Yes,7,5 Trailsway Avenue,3059,VIC,Australia,9,1.03,1.2875,1.609375,1.609375,338,338,0.99609375
Nicole,Ruckhard,Female,93,1969-10-09,Human Resources Manager,Health,Affluent Customer,N,Yes,17,23694 Leroy Place,4560,QLD,Australia,3,0.64,0.8,1,1,341,341,0.99
Celestina,Lethardy,Female,38,1968-12-11,Software Consultant,IT,Mass Customer,N,Yes,11,53 Memorial Street,3163,VIC,Australia,10,0.81,1.0125,1.265625,1.07578125,341,341,0.99
Tannie,Petrakov,Male,84,1951-11-27,Data Coordiator,IT,Affluent Customer,N,No,10,691 Valley Edge Alley,4078,QLD,Australia,6,0.51,0.51,0.6375,0.6375,341,341,0.99
Bessy,Saladin,Female,22,1939-12-22,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,60073 Pankratz Pass,4075,QLD,Australia,10,0.83,1.0375,1.296875,1.10234375,341,341,0.99
Diego,Van den Broek,Male,17,1964-09-28,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,8 Schlimgen Drive,4055,QLD,Australia,7,0.88,1.1,1.1,1.1,345,345,0.988125
Lucilia,Minshall,Female,71,1952-04-15,,IT,Mass Customer,N,Yes,7,0237 Mallard Place,2750,NSW,Australia,8,0.75,0.9375,0.9375,0.796875,345,345,0.988125
Cissiee,Pollington,Female,43,1941-07-21,Associate Professor,Property,Mass Customer,N,Yes,7,69710 Northfield Center,2256,NSW,Australia,9,0.89,1.1125,1.390625,1.18203125,345,345,0.988125
Eddy,Sturch,Male,22,1961-02-11,Software Consultant,Financial Services,High Net Worth,N,Yes,17,1 Kinsman Crossing,4158,QLD,Australia,6,0.54,0.675,0.675,0.675,345,345,0.988125
Caron,Kezar,Female,11,1953-08-08,Social Worker,Health,Mass Customer,N,No,5,40553 Rigney Avenue,2835,NSW,Australia,1,1.03,1.03,1.03,0.8755,349,349,0.9875
Sandor,Stirland,Male,67,1981-05-26,Web Developer IV,Manufacturing,High Net Worth,N,No,12,48578 Farmco Park,3235,VIC,Australia,10,0.78,0.78,0.975,0.975,349,349,0.9875
Gallagher,Bromell,Male,18,1956-12-02,Assistant Manager,n/a,Mass Customer,N,No,17,91634 Badeau Crossing,4556,QLD,Australia,8,0.52,0.52,0.52,0.442,349,349,0.9875
Murial,Bulloch,Female,59,1964-10-01,,Financial Services,Mass Customer,N,No,13,391 Old Shore Lane,2011,NSW,Australia,6,0.58,0.58,0.58,0.493,349,349,0.9875
Delinda,Ech,Female,74,1944-10-21,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,28 Golf View Terrace,3101,VIC,Australia,10,1.09,1.3625,1.703125,1.44765625,349,349,0.9875
Hussein,Tapenden,Male,19,1953-10-19,Pharmacist,Health,Affluent Customer,N,Yes,12,0197 Sachs Avenue,2747,NSW,Australia,8,0.83,1.0375,1.0375,1.0375,349,349,0.9875
Giulietta,Garbott,Female,59,2002-02-27,Technical Writer,n/a,Affluent Customer,N,Yes,14,48297 Stuart Circle,3810,VIC,Australia,5,1,1.25,1.25,1.25,355,355,0.984375
Kaylyn,Jakaway,Female,45,1980-07-30,Registered Nurse,Health,Affluent Customer,N,No,10,67 Heath Circle,2290,NSW,Australia,8,0.88,0.88,0.88,0.88,356,356,0.9828125
Brynn,Goodyear,Female,30,1944-11-10,Human Resources Manager,Health,Mass Customer,N,Yes,11,3 Sheridan Lane,3075,VIC,Australia,7,0.58,0.725,0.725,0.61625,356,356,0.9828125
Otis,,Male,59,1971-01-11,Electrical Engineer,Manufacturing,Affluent Customer,N,No,12,04 Oakridge Plaza,2075,NSW,Australia,11,0.84,0.84,1.05,1.05,358,358,0.98
Tamas,Swatman,U,65,,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,78 Clarendon Drive,4551,QLD,Australia,8,0.4,0.4,0.4,0.4,358,358,0.98
Pace,Clemonts,Male,99,1990-07-28,Media Manager IV,Retail,High Net Worth,N,No,10,335 Cambridge Hill,3122,VIC,Australia,7,0.48,0.48,0.6,0.6,358,358,0.98
Tracy,Andrejevic,U,71,,Programmer II,IT,Mass Customer,N,Yes,11,5675 Burning Wood Trail,3030,VIC,Australia,7,0.52,0.65,0.65,0.5525,361,361,0.9775
Muffin,Grigolon,Male,7,1979-10-31,Senior Editor,Telecommunications,Mass Customer,N,No,12,4597 Marcy Point,2232,NSW,Australia,10,1.05,1.05,1.3125,1.115625,361,361,0.9775
Allsun,Biner,Female,67,1997-12-26,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,9 Walton Way,2641,NSW,Australia,2,0.6,0.75,0.75,0.6375,361,361,0.9775
Kenneth,Elleyne,Male,13,1957-09-03,Technical Writer,Financial Services,Mass Customer,N,No,13,27429 Dottie Plaza,3145,VIC,Australia,11,0.89,0.89,1.1125,0.945625,361,361,0.9775
Clotilda,Southers,Female,62,1999-11-08,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,42 Donald Hill,2323,NSW,Australia,4,0.77,0.9625,0.9625,0.818125,361,361,0.9775
Augustus,Bourley,Male,60,1981-08-17,,Health,Affluent Customer,N,No,18,3 Hoepker Parkway,4152,QLD,Australia,10,0.65,0.65,0.8125,0.8125,366,366,0.975
Daisi,Tinwell,Female,84,1971-12-24,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,19561 Express Street,2777,NSW,Australia,8,0.61,0.61,0.7625,0.648125,366,366,0.975
Gerik,Woodroof,Male,18,1959-06-13,Paralegal,Financial Services,High Net Worth,N,Yes,9,41 Kropf Road,3175,VIC,Australia,7,0.57,0.7125,0.7125,0.7125,366,366,0.975
Claresta,MacConnulty,Female,6,1957-10-01,Recruiting Manager,n/a,Mass Customer,N,Yes,20,0516 Fremont Point,2026,NSW,Australia,9,0.45,0.5625,0.703125,0.59765625,366,366,0.975
Arty,Fontelles,Male,50,1994-10-21,Help Desk Technician,IT,High Net Worth,N,No,4,7872 South Junction,3197,VIC,Australia,4,0.58,0.58,0.58,0.58,370,370,0.97
Giulia,Hazart,Female,57,1978-08-02,Help Desk Technician,n/a,Mass Customer,N,No,11,81 Donald Parkway,4218,QLD,Australia,11,0.55,0.55,0.6875,0.584375,371,371,0.96875
Whit,Emloch,Male,30,1963-08-20,Food Chemist,Health,Mass Customer,N,Yes,6,105 Carpenter Court,2220,NSW,Australia,9,0.53,0.6625,0.828125,0.70390625,372,372,0.966875
Rowan,Summerly,Male,4,1974-07-05,Librarian,Entertainment,Mass Customer,N,No,9,58231 Tomscot Plaza,2209,NSW,Australia,10,0.92,0.92,1.15,0.9775,372,372,0.966875
Ian,Rabat,Male,54,1975-08-04,Web Designer I,Financial Services,Affluent Customer,N,No,11,3 Loeprich Point,3204,VIC,Australia,11,0.6,0.6,0.75,0.75,372,372,0.966875
Agneta,McAmish,U,66,,Structural Analysis Engineer,IT,Mass Customer,N,No,15,5773 Acker Way,4207,QLD,Australia,6,1,1,1,0.85,375,375,0.96
Reginald,Jermy,Male,7,1960-09-12,Director of Sales,n/a,High Net Worth,N,Yes,20,540 Katie Street,4128,QLD,Australia,8,0.72,0.9,0.9,0.9,375,375,0.96
Link,Gorini,Male,60,1974-11-09,,IT,High Net Worth,N,No,10,9495 Jenna Way,4600,QLD,Australia,2,0.76,0.76,0.76,0.76,375,375,0.96
Harriet,Brattan,Female,81,1986-12-03,Human Resources Assistant I,Financial Services,High Net Worth,N,No,2,66 Ruskin Parkway,3579,VIC,Australia,1,1.04,1.04,1.3,1.3,378,378,0.95625
Sada,Branton,Female,34,1974-06-24,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,14,9736 Mitchell Pass,3199,VIC,Australia,6,0.5,0.5,0.5,0.5,378,378,0.95625
Jenelle,Mc-Kerley,Female,40,1942-01-23,Data Coordiator,Financial Services,Mass Customer,N,Yes,16,9 Springview Terrace,4068,QLD,Australia,5,0.51,0.6375,0.6375,0.541875,378,378,0.95625
Gabrila,Toopin,Female,7,1963-01-14,Junior Executive,Manufacturing,Mass Customer,N,No,12,1914 Oakridge Place,2456,NSW,Australia,6,0.59,0.59,0.59,0.5015,378,378,0.95625
Almira,Mangion,Female,4,1996-01-24,VP Product Management,Financial Services,Affluent Customer,N,Yes,2,179 Anzinger Center,2230,NSW,Australia,12,0.84,1.05,1.3125,1.3125,382,382,0.95
Arty,Strudwick,Male,85,1964-01-31,Data Coordiator,Health,Mass Customer,N,Yes,8,62 Melrose Court,2211,NSW,Australia,10,0.61,0.7625,0.953125,0.81015625,382,382,0.95
Alexa,Dillet,Female,65,1944-10-05,Product Engineer,Entertainment,Affluent Customer,N,No,17,84650 Novick Point,2261,NSW,Australia,7,0.99,0.99,0.99,0.99,382,382,0.95
Palmer,Heaven,Male,82,1995-05-18,Staff Scientist,Financial Services,Affluent Customer,N,Yes,9,5 Hoard Parkway,3754,VIC,Australia,6,0.87,1.0875,1.359375,1.359375,382,382,0.95
Porter,Buckenhill,Male,46,1954-06-14,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,9,376 Talmadge Street,4124,QLD,Australia,7,0.7,0.875,0.875,0.875,386,386,0.945625
Kizzee,Kemston,Female,11,1961-09-29,,Health,Mass Customer,N,No,13,5979 Green Ridge Way,2767,NSW,Australia,8,0.41,0.41,0.41,0.3485,386,386,0.945625
Isadora,Ducker,Female,15,1973-08-25,Account Executive,n/a,Affluent Customer,N,Yes,8,2972 Holy Cross Crossing,3153,VIC,Australia,5,1.08,1.35,1.35,1.35,386,386,0.945625
Giffie,Offill,Male,51,1993-03-02,Structural Engineer,Telecommunications,Affluent Customer,N,No,5,89 Riverside Court,4740,QLD,Australia,3,0.79,0.79,0.79,0.79,386,386,0.945625
Fara,Sarath,Female,75,1948-06-30,Quality Control Specialist,n/a,Mass Customer,N,No,22,540 Forest Run Plaza,2168,NSW,Australia,7,0.47,0.47,0.47,0.3995,386,386,0.945625
Carolann,Raatz,Female,25,1979-02-26,Chief Design Engineer,n/a,High Net Worth,N,No,21,817 Bunker Hill Place,3977,VIC,Australia,6,0.64,0.64,0.64,0.64,386,386,0.945625
Tamar,Windmill,Female,92,1939-08-28,Senior Editor,Manufacturing,Affluent Customer,N,No,10,4669 Troy Place,2207,NSW,Australia,10,0.71,0.71,0.8875,0.8875,386,386,0.945625
Kipp,Stockport,Male,36,1982-12-10,Data Coordiator,Retail,Mass Customer,N,Yes,6,02 Roth Drive,2022,NSW,Australia,11,0.56,0.7,0.875,0.74375,386,386,0.945625
Packston,Wackett,Male,10,1950-04-26,Quality Engineer,Financial Services,Mass Customer,N,No,19,7 Northridge Court,3192,VIC,Australia,9,0.76,0.76,0.95,0.8075,386,386,0.945625
Hanson,Eastes,Male,74,1990-05-20,,Manufacturing,Mass Customer,N,Yes,5,5735 Starling Plaza,3056,VIC,Australia,9,0.73,0.9125,1.140625,0.96953125,395,395,0.94
Demetria,Bausor,Female,73,1961-12-22,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,9,97 Transport Plaza,2097,NSW,Australia,12,0.69,0.8625,1.078125,0.91640625,396,396,0.9375
Lura,Fawdrie,Female,66,2002-01-17,VP Sales,Health,Mass Customer,N,Yes,4,67183 Anniversary Parkway,4211,QLD,Australia,3,1.07,1.3375,1.3375,1.136875,396,396,0.9375
Nora,Anselm,Female,84,1961-01-05,,Entertainment,High Net Worth,N,Yes,15,2 Emmet Parkway,4342,QLD,Australia,5,0.74,0.925,1.15625,1.15625,396,396,0.9375
Estevan,Eastment,Male,54,1942-08-09,Environmental Specialist,Health,Mass Customer,N,Yes,21,61926 Tomscot Hill,2019,NSW,Australia,8,0.46,0.575,0.575,0.48875,396,396,0.9375
Aloysius,Glowacz,Male,72,1979-03-24,Financial Advisor,Financial Services,Affluent Customer,N,No,18,07 Susan Lane,2232,NSW,Australia,10,0.68,0.68,0.85,0.85,396,396,0.9375
Bastien,Ibbeson,Male,53,1976-11-04,Software Consultant,IT,Mass Customer,N,No,12,43094 Kedzie Pass,2487,NSW,Australia,5,1.01,1.01,1.01,0.8585,401,401,0.935
Otha,Langworthy,Female,91,1967-01-20,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,13,678 Lyons Trail,3130,VIC,Australia,10,0.95,1.1875,1.484375,1.26171875,401,401,0.935
Gannie,Bargh,Male,56,1955-02-13,Analyst Programmer,n/a,Mass Customer,N,Yes,13,1832 Burning Wood Place,3201,VIC,Australia,7,1.02,1.275,1.275,1.08375,401,401,0.935
Dwayne,Doel,Male,80,1978-01-21,Cost Accountant,Financial Services,Affluent Customer,N,Yes,17,5642 Debs Terrace,2223,NSW,Australia,11,1.02,1.275,1.59375,1.59375,401,401,0.935
Leese,Huckleby,Female,67,1977-09-10,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,16,73 Riverside Trail,3777,VIC,Australia,7,0.64,0.8,0.8,0.8,405,405,0.93
Dodi,Kiggel,Female,5,1980-08-15,,Financial Services,Mass Customer,N,Yes,13,05 Everett Trail,2114,NSW,Australia,11,0.44,0.55,0.6875,0.584375,405,405,0.93
Kippar,Brimilcome,Male,21,1938-11-29,Graphic Designer,Health,Mass Customer,N,No,19,082 Welch Lane,2089,NSW,Australia,11,0.85,0.85,1.0625,0.903125,405,405,0.93
Corinna,Beretta,Female,24,1996-02-29,Programmer III,Health,High Net Worth,N,No,12,72 Mccormick Circle,3023,VIC,Australia,7,0.52,0.52,0.52,0.52,408,408,0.9296875
Laurie,Odlin,Female,75,1983-03-08,Social Worker,Health,High Net Worth,N,No,10,15669 Arizona Trail,3194,VIC,Australia,10,0.85,0.85,1.0625,1.0625,409,409,0.925
Mair,Erett,Female,15,1957-12-05,Speech Pathologist,n/a,Affluent Customer,N,No,18,79 Armistice Parkway,2117,NSW,Australia,7,0.74,0.74,0.74,0.74,409,409,0.925
Marcelia,Copins,Female,81,1946-03-15,,n/a,Mass Customer,N,Yes,21,330 Melby Terrace,2259,NSW,Australia,8,0.65,0.8125,1.015625,0.86328125,409,409,0.925
Tanner,Terlinden,Male,84,1995-12-09,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,14,2637 Monument Trail,3106,VIC,Australia,11,0.66,0.66,0.825,0.70125,409,409,0.925
Hilliard,Dullard,Male,65,1954-07-18,Civil Engineer,Manufacturing,Mass Customer,N,No,17,37919 Old Gate Park,2163,NSW,Australia,8,0.53,0.53,0.53,0.4505,409,409,0.925
Justinn,Haruard,Female,48,1958-08-28,Health Coach IV,Health,High Net Worth,N,No,11,00 Judy Terrace,2035,NSW,Australia,12,0.46,0.46,0.575,0.575,414,414,0.924375
Wyn,Meach,Male,37,1938-09-10,,Manufacturing,Mass Customer,N,No,9,79 Armistice Junction,2765,NSW,Australia,9,1.03,1.03,1.2875,1.094375,415,415,0.921875
Art,Shardlow,Male,57,1963-10-15,Data Coordiator,Argiculture,Mass Customer,N,Yes,15,7 Clemons Circle,4350,QLD,Australia,2,0.51,0.6375,0.6375,0.541875,415,415,0.921875
Dennis,Varnham,Male,57,1953-05-17,Assistant Media Planner,Entertainment,Affluent Customer,N,No,17,6455 Mayfield Street,3350,VIC,Australia,3,1.08,1.08,1.08,1.08,415,415,0.921875
Freddi,Litherborough,Female,46,1989-01-14,Product Engineer,Financial Services,Mass Customer,N,No,7,7873 Meadow Vale Plaza,2460,NSW,Australia,3,0.41,0.41,0.41,0.3485,418,418,0.918
Salomon,Perkins,Male,76,1998-01-12,Engineer IV,Financial Services,Affluent Customer,N,Yes,1,45 Banding Hill,2009,NSW,Australia,10,1,1.25,1.5625,1.5625,419,419,0.91640625
Sherill,,Female,33,1991-12-18,Information Systems Manager,Financial Services,Mass Customer,N,No,3,53 Moulton Avenue,2880,NSW,Australia,1,1.04,1.04,1.04,0.884,420,420,0.91375
